question_id,question_text,option_A,option_B,option_C,dimension,version
"q1","认识你的人倾向形容你为：","高共情型认知者——你对情绪和氛围有敏锐的雷达，擅长捕捉情感互动的微妙信号","解决问题导向思维者——依赖逻辑和系统性分析，追求高效精准的提升伴侣生活品质解决方案。","","","love_28"
"q2","你们的关系类型：","社交能量型伴侣——你们的关系在人群中焕发活力，通过外部互动和新鲜体验来增强情感联结。社交场合不是干扰，而是你们共同探索世界的延伸，彼此在流动的社交能量中确认默契。","深度沉浸型伴侣——你们的关系在私密空间里达到最佳状态，通过专注的共处和微小仪式来深化理解。外界喧嚣被主动过滤，真正重要的是一起构建只属于你们的「意义气泡」，在专注的互动中确认亲密。","","","love_28"
"q3","刷短视频时，你更倾向于：","你对有可能发生之事的想像和期望 点赞科幻脑洞类（如「如果人类能光合作用」「平行宇宙的10种形态」）","收藏实用技巧类（如「3分钟快速整理衣柜」「Excel快捷键大全」）","","","love_28"
"q4","哪种特质更像你：","友善而仁慈","冷静而理智","","","love_28"
"q5","当和某人分手时：","你通常让自己的情绪深陷其中，很难抽身出来","虽然你觉得受伤，但一旦下定决心，你会直截了当地将过去恋人的影子甩开","还没有分手的体验","","love_28"
"q6","当与一个人交往时，你倾向于看重：","情感上的相容性：表达爱意和对另一半的需求很敏感","智慧上的相容性：沟通重要的想法；客观地讨论和辩论事情","","","love_28"
"q7","你倾向拥有：","很多认识的人和很多可以畅谈的朋友","少数能聊得来的朋友和一些认识的人","","","love_28"
"q8","过去，你的爱人和恋人倾向对你说：","你难道不可以安静一会儿吗？","可以请你从你的世界中出来一下吗？","","","love_28"
"q9","当和约会对象进入舒适圈后，你们的话题通常会转向：","「科幻编剧模式」：把米其林餐厅的餐巾纸画满创业idea，在清吧里严肃分析元宇宙相亲的可行性","「人间观察员模式」：分享最近发现的通勤路线最优解，讨论哪家超市的草莓又甜又便宜，一样交换提升幸福感的冷技巧","","","love_28"
"q10","你倾向相信：","你的直觉","你直接的观察和现成的经验","","","love_28"
"q11","在约会中，你通常：","整体来说很健谈","较安静并保留，直到你觉得舒服","","","love_28"
"q12","在第一次约会中：","若你所约的人来迟了，你会很不高兴","一点儿都不在乎，因为你自己常常迟到","","","love_28"
"q13","你更喜欢那种生活:","不同寻常的生活","平凡小确幸的生活","","","love_28"
"q14","你是这种人:","喜欢先纵观全局","喜欢先掌握细节","","","love_28"
"q15","你遇见恋人的方式：","""局王""型恋爱——你的对象基本都是各种局上认识的：朋友组的剧本杀缺人拉来的高玩、公司楼下咖啡厅总碰见的隔壁公司帅哥、健身房总和你抢同一个器械的腹肌小哥。甚至打车都能和拼车的人看对眼——你的桃花就藏在每天的热闹里。","""精准匹配""型恋爱——你不是在相亲APP刷到同款MBTI的对象，就是被死党强行安利她发小的同事，再不就是爸妈托七大姑八大姨介绍的""靠谱青年""。就连打王者荣耀都能匹配到同城老乡，大数据都比你自己懂你想找啥类型。","","","love_28"
"q16","你是这类型的人：","与其活在现实中，不如活在想像里","与其活在想像里，不如活在现实中","","","love_28"
"q17","哪一项较常见：","你准时出席而其他人都迟到","其他人都准时出席而你迟到","","","love_28"
"q18","你偏好：","事先知道约会的行程：要去哪里、有谁参加、你会在那里多久、该如何打扮","让约会自然地发生，不做太多事先的计划","","","love_28"
"q19","你是此类型的人：","喜欢在一段时间里专心于一件事情直到完成","享受同时进行好几件事情","","","love_28"
"q20","你倾向如此做决定：","首先依你的心意，然后依你的逻辑","首先依你的逻辑，然后依你的心意","","","love_28"
"q21","你属于：","""充电宝""社交型——力量来自和闺蜜的深夜吐槽大会、兄弟开黑时的默契配合，或是同事间撸串吹牛的快乐时光。每次聚会都像手机连上了充电宝，电量蹭蹭往上涨。","""自给自足""型——力量来自深夜独自听歌时的灵感迸发、晨跑时想通的某个问题，或是周末宅家看完一本好书的满足感。就像自带太阳能板，不用插电也能持续发光。","","","love_28"
"q22","你的约会观：","「剧本型」约会观：你会在脑内预演800种约会场景，连对方可能穿的球鞋颜色都推演过，聊天话题早就列在手机备忘录里","「盲盒型」约会观：觉得计划太多反而破坏惊喜感，临时起意拐进路边小店也是浪漫，相信最好的互动都是即兴发挥","","","love_28"
"q23","当你参加一个社交聚会时，你会：","在夜色很深时，一旦你开始投入，也许就是最晚离开的那一个","在夜晚刚开始的时候，我就疲倦了并且想回家","","","love_28"
"q24","当你不同意恋人的想法时：","你尽可能地避免伤害对方的感情；若是会对对方造成伤害的话，你就不会说","你通常毫无保留地说话，并且对情人直言不讳，因为对的就是对的","","","love_28"
"q25","你倾向比较能够察觉到：","当人们需要情感上的支持时","当人们不合逻辑时","","","love_28"
"q26","临时被土豪朋友邀请去冰岛追极光，航班明早6点起飞，下面哪种更像你：","「行程管理大师」先火速检查所有待办事项，确认项目DDL和宠物托管情况，三分钟内列好行李清单，启动精密程序一样安排好一切","「说走就走野人」：把充电器往包里一塞就出门，缺什么当地都能现买，相信赶不上飞机就改签，人生信条是""去了再说""","","","love_28"
"q27","你选择的生活充满着：","日程表、组织和执行力","自然发生、弹性和松弛感","","","love_28"
"q28","你更像哪种人：","果断做出决定的人","有轻微选择困难症的人","","","love_28"
