question_id,question_text,option_A,option_B,option_C,dimension,version
"q1","认识你的人倾向形容你为","逻辑和明确","热情而敏感","","","standard_93"
"q2","你喜欢......","有部署、有节奏的工作","有灵活性、较为松散的工作","","","standard_93"
"q3","你乐于拥有广泛的人际圈","是的","如果可以选择的话，我更愿意一个人静静呆着","","","standard_93"
"q4","你看肥皂剧的时候会很投入","是的","不会","","","standard_93"
"q5","电话铃声突然响起或类似这样的突发性事件，你习惯最先做出回应","是的","不会","","","standard_93"
"q6","热衷于猎奇和掌握新概念","是的","不是","","","standard_93"
"q7","当受到情感上的伤害或挫折时","虽然你觉得受伤，但一旦想通，就会很快从阴影中走出来","你通常让自己的情绪深陷其中，很难走出来","","","standard_93"
"q8","你选择的生活充满着......","自然发生和弹性","日程表和组织","","","standard_93"
"q9","在同学聚会中，你通常","较安静并保留，直到你觉得舒服","整体来说很健谈","","","standard_93"
"q10","当你对一个朋友放松聊天时，你偏向谈论","实际的、具体的、关于""此时此地""的事物。例如，你也许会谈论即将要参加的旅程","未来，关于改进或发明事物和生活的种种可能性。例如，你也许会谈论一个新的科学发明","","","standard_93"
"q11","你经常考虑人类及其命运问题","是的","不会","","","standard_93"
"q12","你有时候会心血来潮做一件事情","是的","极少会这样","","","standard_93"
"q13","你倾向比较能够察觉到","当人们不合逻辑时","当人们需要情感上的支持时","","","standard_93"
"q14","你喜欢立刻行动而不习惯对各种选择进行反复斟酌","是的","不是","","","standard_93"
"q15","我更容易被认为是一个","很理性的人","重感情的人","","","standard_93"
"q16","如你有一个约见，你是习惯临场发挥还是事先周密准备","随机应变，临场发挥","不周密准备我不安心","","","standard_93"
"q17","业余时间里你常与一群人积极交往，参加聚会、一起购物","是的","不，我独自呆着比较舒服","","","standard_93"
"q18","若你有时间和金钱，你的朋友邀请你到国外度假，并且在前一天才通知，你会","必须先检查你的时间表","立刻收拾行装","","","standard_93"
"q19","与朋友交往时，你倾向于看重","情感上的相容性：对对方情感上的需求很敏感","智慧上的相容性：沟通重要的想法；客观地讨论和辩论事情","","","standard_93"
"q20","哪种更符合你......","表面传统，其实内心是开放而热烈的，渴望挑战自己","表面很开放，但只是想做自己，内心其实是保守而传统的","","","standard_93"
